Const,Your Rating,Date Rated,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt13616990,10,2026-02-16,"Chainsaw Man","Chainsaw Man",https://www.imdb.com/title/tt13616990,Fernsehserie,8.3,24,2022,"Animation, Action, Komödie, Fantasy",97629,"2022-10-11",
tt32916440,9,2026-02-15,"Marty Supreme","Marty Supreme",https://www.imdb.com/title/tt32916440,Film,7.9,149,2025,"Drama, Sportfilm",105710,"2026-02-26","Josh Safdie"
tt3158246,10,2026-02-08,"Space Dandy","Space Dandy",https://www.imdb.com/title/tt3158246,Fernsehserie,8.0,24,2014,"Animation, Abenteuer, Komödie, Science-Fiction",5254,"2014-01-07",
tt22202452,10,2026-01-18,"Pluribus","Pluribus",https://www.imdb.com/title/tt22202452,Fernsehserie,8.0,60,2025,"Drama, Science-Fiction",131622,"2025-11-07",
tt2560140,10,2026-01-17,"Attack on Titan","Shingeki no kyojin",https://www.imdb.com/title/tt2560140,Fernsehserie,9.1,24,2013,"Animation, Fantasy, Horror, Abenteuer, Drama, Action",695014,"2017-05-05",
tt0103855,3,2026-01-07,"Bodyguard","The Bodyguard",https://www.imdb.com/title/tt0103855,Film,6.4,129,1992,"Musikfilm, Liebesfilm, Thriller, Drama",158493,"1993-01-07","Mick Jackson"
tt1757678,8,2025-12-30,"Avatar: Fire and Ash","Avatar: Fire and Ash",https://www.imdb.com/title/tt1757678,Film,7.4,197,2025,"Animation, Fantasy, Science-Fiction, Action, Abenteuer",133010,"2025-12-17","James Cameron"
tt7181546,6,2025-11-08,"Ballerina","Ballerina",https://www.imdb.com/title/tt7181546,Film,6.8,124,2025,"Action, Thriller",140322,"2025-06-05","Len Wiseman"
tt14205554,9,2025-10-30,"KPop Demon Hunters","KPop Demon Hunters",https://www.imdb.com/title/tt14205554,Film,7.5,95,2025,"Animation, Musical, Action, Abenteuer, Fantasy, Musikfilm, Komödie, Familienfilm",121559,"2025-06-20","Chris Appelhans,Maggie Kang"
tt32634838,9,2025-10-07,"Smiling Friends: Silly Samuel","Smiling Friends: Silly Samuel",https://www.imdb.com/title/tt32634838,Fernsehepisode,8.1,11,2025,"Animation, Kurzfilm, Komödie",1915,"2025-11-17","David Hootselle,Michael Cusack,Aron Fromm,Zach Hadel"
tt36985473,10,2025-08-13,"The Wonderfully Weird World of Gumball","The Wonderfully Weird World of Gumball",https://www.imdb.com/title/tt36985473,Fernsehserie,8.5,11,2025,"Animation, Kurzfilm, Abenteuer, Komödie, Science-Fiction, Familienfilm, Fantasy",3987,"2025-10-06",
tt0121955,10,2025-08-13,"South Park","South Park",https://www.imdb.com/title/tt0121955,Fernsehserie,8.7,22,1997,"Animation, Komödie",441457,"1999-09-05",
tt26764413,10,2025-08-04,"South Park: Sermon on the 'Mount","South Park: Sermon on the 'Mount",https://www.imdb.com/title/tt26764413,Fernsehepisode,9.3,22,2025,"Animation, Komödie",14288,"2025-07-27","Trey Parker"
tt0105236,9,2025-08-02,"Reservoir Dogs - Wilde Hunde","Reservoir Dogs",https://www.imdb.com/title/tt0105236,Film,8.3,99,1992,"Krimi, Thriller",1163712,"1992-09-10","Quentin Tarantino"
tt14577874,7,2025-07-07,"Zeig mir, wer du bist","It's What's Inside",https://www.imdb.com/title/tt14577874,Film,6.6,103,2024,"Komödie, Mystery, Science-Fiction, Thriller",50268,"2024-10-04","Greg Jardin"
tt16311594,6,2025-06-29,"F1","F1",https://www.imdb.com/title/tt16311594,Film,7.6,155,2025,"Sportfilm, Drama, Action",321797,"2025-06-26","Joseph Kosinski"
tt36663027,8,2025-05-26,"Love, Death & Robots: The Other Large Thing","Love, Death & Robots: The Other Large Thing",https://www.imdb.com/title/tt36663027,Fernsehepisode,7.0,9,2025,"Animation, Kurzfilm, Komödie, Fantasy, Horror, Science-Fiction, Action, Abenteuer, Drama, Mystery, Thriller",7273,"2025-05-15","Patrick Osborne"
tt2272367,9,2025-04-26,"Loiter Squad","Loiter Squad",https://www.imdb.com/title/tt2272367,Fernsehserie,7.0,11,2012,"Komödie",2810,"2012-03-25",
tt9253284,10,2025-04-26,"Andor","Andor",https://www.imdb.com/title/tt9253284,Fernsehserie,8.6,60,2022,"Science-Fiction, Thriller, Action, Abenteuer, Fantasy, Drama",269556,"2022-09-21",
tt13622776,1,2025-04-25,"Ahsoka","Ahsoka",https://www.imdb.com/title/tt13622776,Fernsehserie,7.4,50,2023,"Action, Abenteuer, Fantasy, Science-Fiction",139131,"2023-08-23",
tt15875168,10,2025-04-17,"Mo","Mo",https://www.imdb.com/title/tt15875168,Fernsehserie,7.9,27,2022,"Komödie, Drama",19027,"2022-08-24",
tt31790091,10,2025-04-14,"Black Mirror: Hotel Reverie","Black Mirror: Hotel Reverie",https://www.imdb.com/title/tt31790091,Fernsehepisode,6.6,76,2025,"Drama, Thriller, Science-Fiction, Mystery, Krimi",32570,"2025-04-10","Haolu Wang"
tt31215636,9,2025-04-13,"Black Mirror: Plaything","Black Mirror: Plaything",https://www.imdb.com/title/tt31215636,Fernsehepisode,7.1,45,2025,"Drama, Thriller, Science-Fiction, Mystery, Krimi",26075,"2025-04-10","David Slade"
tt31790114,7,2025-04-13,"Black Mirror: Bête Noire","Black Mirror: Bête Noire",https://www.imdb.com/title/tt31790114,Fernsehepisode,7.2,49,2025,"Drama, Thriller, Science-Fiction, Mystery, Krimi",31301,"2025-04-10","Toby Haynes"
tt31790115,8,2025-04-13,"Black Mirror: USS Callister: Into Infinity","Black Mirror: USS Callister: Into Infinity",https://www.imdb.com/title/tt31790115,Fernsehepisode,8.1,89,2025,"Drama, Thriller, Science-Fiction, Mystery, Krimi",23900,"2025-04-10","Toby Haynes"
tt31790112,10,2025-04-13,"Black Mirror: Eulogy","Black Mirror: Eulogy",https://www.imdb.com/title/tt31790112,Fernsehepisode,8.1,46,2025,"Drama, Thriller, Science-Fiction, Mystery, Krimi",30145,"2025-04-10","Christopher Barrett,Luke Taylor"
tt30127325,10,2025-04-13,"Black Mirror: Common People","Black Mirror: Common People",https://www.imdb.com/title/tt30127325,Fernsehepisode,8.1,56,2025,"Drama, Thriller, Science-Fiction, Mystery, Krimi",38701,"2025-04-10","Ally Pankiw"
tt5710978,10,2025-04-08,"Black Mirror: Hang the DJ","Black Mirror: Hang the DJ",https://www.imdb.com/title/tt5710978,Fernsehepisode,8.7,51,2017,"Drama, Thriller, Science-Fiction, Mystery, Krimi",68923,"2017-12-29","Timothy Van Patten"
